Roll Number,Block,Plan,Unit,Civic Address,Street Name,Zoning,Description Code,Description,Assessment Improvement Value,Assessment Land Value,Assessment Other Value,Assessment Year,Assessment Total Value,Poll Division,Poll Division Name,Voting Station,Latitude,Longitude
0312002732,312,C4533,216,111,MOYLE DR,,101,Residential,"121,400.00","21,040.00",0,2015,"142,440.00",2,Weledeh,École St. Patrick High School,62.46650692,-114.3742236
0312002731,312,C4533,215,111,MOYLE DR,,101,Residential,"135,690.00","22,800.00",0,2015,"158,490.00",2,Weledeh,École St. Patrick High School,62.46644486,-114.3741079
0312002730,312,C4533,214,111,MOYLE DR,,101,Residential,"127,560.00","22,530.00",0,2015,"150,090.00",2,Weledeh,École St. Patrick High School,62.46646114,-114.3743594
0312002729,312,C4533,213,111,MOYLE DR,,101,Residential,"127,560.00","22,530.00",0,2015,"150,090.00",2,Weledeh,École St. Patrick High School,62.46640004,-114.3742515
0312002728,312,C4533,212,111,MOYLE DR,,101,Residential,"125,810.00","22,120.00",0,2015,"147,930.00",2,Weledeh,École St. Patrick High School,62.46641309,-114.3744906
0312002727,312,C4533,211,111,MOYLE DR,,101,Residential,"125,340.00","21,990.00",0,2015,"147,330.00",2,Weledeh,École St. Patrick High School,62.46634819,-114.3743751
0312002726,312,C4533,210,111,MOYLE DR,,101,Residential,"125,780.00","22,120.00",0,2015,"147,900.00",2,Weledeh,École St. Patrick High School,62.46635384,-114.3746251
0312002725,312,C4533,209,111,MOYLE DR,,101,Residential,"122,540.00","21,310.00",0,2015,"143,850.00",2,Weledeh,École St. Patrick High School,62.46629068,-114.3745013
0312002724,312,C4533,208,111,MOYLE DR,,101,Residential,"125,810.00","22,120.00",0,2015,"147,930.00",2,Weledeh,École St. Patrick High School,62.46629068,-114.3747539
0312002723,312,C4533,207,111,MOYLE DR,,101,Residential,"120,780.00","20,910.00",0,2015,"141,690.00",2,Weledeh,École St. Patrick High School,62.46622118,-114.3746471
0312002722,312,C4533,206,111,MOYLE DR,,101,Residential,"97,440.00","15,240.00",0,2015,"112,680.00",2,Weledeh,École St. Patrick High School,62.46624103,-114.3748938
0312002721,312,C4533,205,111,MOYLE DR,,101,Residential,"97,440.00","15,240.00",0,2015,"112,680.00",2,Weledeh,École St. Patrick High School,62.46617874,-114.3747658
0312002720,312,C4533,204,111,MOYLE DR,,101,Residential,"126,910.00","22,390.00",0,2015,"149,300.00",2,Weledeh,École St. Patrick High School,62.46618418,-114.3750548
0312002719,312,C4533,203,111,MOYLE DR,,101,Residential,"126,910.00","22,390.00",0,2015,"149,300.00",2,Weledeh,École St. Patrick High School,62.4661228,-114.3749247
0312002718,312,C4533,202,111,MOYLE DR,,101,Residential,"121,370.00","21,040.00",0,2015,"142,410.00",2,Weledeh,École St. Patrick High School,62.46613829,-114.3751923
0312002717,312,C4533,201,111,MOYLE DR,,101,Residential,"135,660.00","22,800.00",0,2015,"158,460.00",2,Weledeh,École St. Patrick High School,62.46607184,-114.3750631
0312002716,312,C4533,116,111,MOYLE DR,,101,Residential,"121,400.00","21,040.00",0,2015,"142,440.00",2,Weledeh,École St. Patrick High School,62.46650692,-114.3742236
0312002715,312,C4533,115,111,MOYLE DR,,101,Residential,"135,690.00","22,800.00",0,2015,"158,490.00",2,Weledeh,École St. Patrick High School,62.46644486,-114.3741079
0312002714,312,C4533,114,111,MOYLE DR,,101,Residential,"127,560.00","22,530.00",0,2015,"150,090.00",2,Weledeh,École St. Patrick High School,62.46646114,-114.3743594
0312002713,312,C4533,113,111,MOYLE DR,,101,Residential,"127,560.00","22,530.00",0,2015,"150,090.00",2,Weledeh,École St. Patrick High School,62.46640004,-114.3742515
0312002712,312,C4533,112,111,MOYLE DR,,101,Residential,"125,810.00","22,120.00",0,2015,"147,930.00",2,Weledeh,École St. Patrick High School,62.46641309,-114.3744906
0312002711,312,C4533,111,111,MOYLE DR,,101,Residential,"125,340.00","21,990.00",0,2015,"147,330.00",2,Weledeh,École St. Patrick High School,62.46634819,-114.3743751
0312002710,312,C4533,110,111,MOYLE DR,,101,Residential,"125,780.00","22,120.00",0,2015,"147,900.00",2,Weledeh,École St. Patrick High School,62.46635384,-114.3746251
0312002709,312,C4533,109,111,MOYLE DR,,101,Residential,"122,540.00","21,310.00",0,2015,"143,850.00",2,Weledeh,École St. Patrick High School,62.46629068,-114.3745013
0312002708,312,C4533,108,111,MOYLE DR,,101,Residential,"125,810.00","22,120.00",0,2015,"147,930.00",2,Weledeh,École St. Patrick High School,62.46629068,-114.3747539
0312002707,312,C4533,107,111,MOYLE DR,,101,Residential,"98,510.00","15,510.00",0,2015,"114,020.00",2,Weledeh,École St. Patrick High School,62.46622118,-114.3746471
0312002706,312,C4533,106,111,MOYLE DR,,101,Residential,"97,440.00","15,240.00",0,2015,"112,680.00",2,Weledeh,École St. Patrick High School,62.46624103,-114.3748938
